Id,Prediction
28718053,0
88066133,0
50200005,0
155325342,0
124413202,0
18340942,0
54436174,0
104680870,0
78075160,0
120475773,0
130435056,0
102952315,0
50719328,0
24500458,0
145973760,0
29185419,0
141441754,0
103261926,0
99259376,0
141822936,0
106086646,0
35942800,0
96691200,0
90213560,0
91534854,0
87273558,0
44905994,0
109201122,0
60245599,0
131808740,0
86686107,0
37350356,0
14626815,0
37521114,0
70860850,0
133824752,0
154613384,0
14549320,0
20123957,0
94541935,0
55688595,0
8737532,0
27190922,0
109799994,0
35676064,0
33157799,0
106822258,0
78912434,0
89905028,0
35269550,0
83427010,0
96685576,0
55453968,0
74698119,0
49460997,0
88973938,0
50942871,0
93058189,0
26937611,0
124319561,0
23159604,0
20468796,0
124506093,0
17848626,0
8619792,0
153280353,0
91011721,0
96059540,0
69578594,0
18260374,0
104005392,0
67047208,0
78849504,0
57283957,0
117183733,0
87195765,0
104585045,0
151847153,0
124434282,0
36710764,0
75254821,0
86747039,0
130814696,0
18278802,0
78847972,0
54200378,0
130816456,0
26572725,0
44868153,0
82511563,0
72672759,0
39630338,0
43275829,0
100827375,0
137027610,0
30832264,0
19563612,0
88164797,0
33304345,0
89795079,0
118097538,0
37912697,0
144519767,0
76724108,0
32885235,0
70884547,0
99144504,0
111189948,0
26001685,0
49961038,0
112981722,0
132333250,0
139644488,0
37176822,0
42144009,0
124898350,0
22675579,0
81812378,0
85487255,0
81550447,0
91833690,0
18929177,0
22184003,0
17980871,0
72614453,0
90141215,0
68732091,0
125389378,0
52055894,0
137563398,0
76661942,0
40889148,0
62042406,0
127014545,0
1069651,0
33438244,0
18857810,0
74879879,0
73145379,0
55306712,0
56058709,0
83348168,0
89651531,0
57840590,0
94675170,0
34467409,0
139587619,0
88174991,0
130998482,0
156507084,0
114685008,0
85943849,0
50992694,0
57856705,0
46321000,0
73865180,0
51244610,0
32967614,0
83481607,0
128537201,0
99356505,0
116582512,0
35719269,0
99708969,0
111900017,0
107968540,0
35617100,0
18756494,0
15585056,0
91556367,0
21657927,0
16527570,0
20800400,0
132864381,0
49541458,0
25379594,0
132909202,0
59464840,0
88619868,0
57052576,0
45307078,0
15359177,0
158808076,0
15051218,0
103285910,0
89891115,0
139588583,0
107986843,0
27398269,0
89856451,0
21967948,0
146349600,0
9800782,0
86228955,0
155259774,0
15221086,0
39085479,0
25454185,0
44406325,0
60871005,0
49842939,0
93990471,0
55490196,0
101777981,0
17489523,0
16876264,0
22340774,0
55576282,0
143388534,0
132354752,0
36244224,0
111883984,0
24185197,0
119532978,0
147376894,0
23874214,0
72245694,0
55617928,0
108286026,0
157926214,0
24258457,0
19079719,0
85872970,0
56607998,0
121095315,0
62938701,0
92844371,0
72478268,0
21471792,0
22611675,0
92467816,0
39136803,0
91381231,0
48212092,0
109864072,0
54111123,0
163435666,0
18545448,0
43483485,0
47930600,0
43546114,0
109739801,0
48939689,0
26573710,0
97157591,0
101137772,0
75213007,0
49382764,0
124053978,0
51469433,0
25760372,0
89587857,0
89535661,0
22045186,0
24636799,0
117025116,0
53682957,0
42661708,0
82461963,0
14195044,0
89927876,0
22851532,0
72204708,0
100856868,0
22946365,0
112381696,0
56009720,0
5513162,0
25879439,0
105118635,0
135720994,0
98168580,0
77798407,0
115401130,0
115442332,0
15460162,0
34511775,0
136695983,0
127316929,0
121742163,0
105824424,0
91924390,0
90843229,0
25972090,0
66749548,0
105506414,0
71327612,0
20832867,0
14421141,0
15497480,0
60102821,0
35254741,0
35047289,0
59916179,0
12511062,0
145549942,0
129898740,0
71211896,0
67397394,0
115854241,0
97177958,0
86744619,0
72639911,0
148877728,0
103866936,0
85346620,0
96080779,0
78816516,0
12738932,0
100017673,0
15435035,0
60703981,0
142377646,0
162882623,0
35927268,0
15326798,0
25673529,0
87340789,0
101232119,0
10403272,0
25570502,0
23032907,0
108467095,0
107678072,0
16061163,0
84909945,0
24558787,0
109565189,0
77724849,0
88038846,0
119786322,0
24492588,0
90296182,0
14962906,0
121904777,0
19420935,0
110816864,0
109712527,0
55120575,0
72942049,0
86973454,0
141088494,0
54058066,0
58008645,0
60514018,0
129152959,0
56613309,0
150803781,0
61527954,0
53229896,0
26953640,0
156057893,0
121614300,0
34340456,0
22605431,0
97369933,0
19189449,0
47170555,0
111207930,0
79618885,0
35102774,0
20951326,0
64136853,0
112486307,0
46857394,0
18201097,0
122934399,0
33088538,0
30806831,0
18034656,0
78903678,0
60442757,0
89625961,0
72322200,0
15876673,0
86027008,0
112445050,0
121650797,0
81555572,0
39407898,0
71991049,0
98062493,0
78614965,0
144610713,0
69366503,0
25355459,0
18548136,0
37554920,0
57734889,0
21110385,0
30606613,0
47452660,0
105608376,0
9256422,0
46713257,0
31472329,0
86841880,0
60498048,0
115202792,0
98279719,0
90372600,0
33486173,0
48322037,0
6114252,0
5912372,0
40100424,0
64802391,0
144860845,0
17928809,0
61317377,0
66471411,0
168955290,0
52898480,0
124166058,0
49389896,0
25075734,0
112123456,0
116453448,0
102651558,0
146253422,0
115714353,0
63035968,0
40752137,0
58193947,0
18500292,0
91090201,0
16793274,0
138144435,0
84556073,0
40293596,0
53606516,0
12118002,0
68479477,0
60680445,0
9003212,0
16694199,0
20377514,0
140060136,0
16427806,0
76770185,0
94903101,0
87451227,0
129109886,0
20352647,0
42737977,0
88815699,0
45746022,0
19603971,0
122064961,0
142160349,0
24232917,0
27200156,0
104854906,0
126800258,0
131339879,0
38983055,0
88258072,0
24668807,0
112162042,0
99605795,0
104215643,0
132590778,0
107454702,0
30032005,0
93508395,0
109887885,0
128127064,0
16052196,0
100937775,0
17017610,0
22832546,0
55276059,0
34258611,0
87846336,0
58448812,0
33866833,0
84315667,0
16521652,0
27837876,0
104991327,0
95598433,0
171333503,0
144695489,0
126865028,0
79362239,0
50761796,0
49112737,0
28613452,0
83857242,0
15331740,0
117352624,0
116209759,0
77932889,0
14575853,0
116562107,0
70484676,0
85189104,0
33587508,0
51537373,0
29516343,0
136236167,0
65497626,0
101892588,0
87802244,0
37089248,0
80421975,0
69221005,0
92499916,0
15899709,0
85767433,0
51372267,0
91723269,0
23682946,0
125319489,0
78581389,0
16875383,0
64529210,0
124005100,0
54462816,0
19225408,0
60972221,0
44101656,0
19852441,0
46362811,0
130273714,0
150027504,0
92208905,0
94225238,0
81751925,0
120472543,0
35504489,0
87585125,0
23946244,0
92964993,0
43733541,0
77842719,0
22767368,0
15969199,0
77804429,0
15166188,0
98948311,0
22570208,0
47430043,0
28923942,0
74444818,0
154202700,0
14779835,0
43303705,0
57678493,0
129559772,0
101546073,0
84203312,0
113557720,0
165347417,0
155033718,0
27598405,0
82990425,0
42283890,0
84701068,0
18231705,0
21951805,0
84128530,0
82136511,0
59337803,0
77481828,0
17165167,0
146634920,0
69625876,0
54812329,0
108624341,0
62365874,0
153060024,0
37045826,0
58073403,0
162694663,0
157414184,0
16903235,0
104361797,0
36264738,0
31463650,0
114714683,0
104194565,0
37469858,0
44152548,0
50679288,0
89982079,0
85686237,0
103518305,0
60465482,0
95654960,0
28163598,0
128519306,0
12343592,0
16046141,0
95843009,0
83539424,0
28044179,0
44096394,0
43111167,0
43825112,0
58813296,0
21847215,0
61472958,0
124697432,0
14858600,0
170116416,0
13792942,0
141008688,0
95143281,0
99241895,0
34730477,0
135693278,0
18623776,0
57109772,0
21202193,0
69927758,0
76417209,0
118317117,0
25033897,0
94072399,0
30747766,0
64465737,0
121676973,0
14940268,0
161505614,0
24365037,0
94332608,0
101774101,0
19353848,0
140196403,0
71244492,0
83447116,0
21759679,0
136172573,0
24815565,0
23933854,0
47205923,0
132794981,0
51997727,0
44623350,0
58773667,0
106735481,0
37412347,0
53558007,0
16487660,0
30171051,0
66330957,0
38333986,0
28841026,0
111648625,0
90930605,0
109337229,0
98343411,0
22463250,0
66574816,0
140601324,0
20244904,0
84255139,0
10500072,0
16046103,0
16176445,0
145435568,0
91555308,0
15481195,0
32507760,0
30331445,0
31630054,0
16835676,0
105567618,0
92904184,0
17355016,0
86471521,0
23552563,0
169834105,0
135895359,0
166309815,0
113886124,0
85543236,0
89081659,0
15653285,0
73415271,0
118156114,0
25987714,0
113405755,0
61561267,0
101211192,0
98594627,0
163799516,0
15868980,0
52908077,0
6859412,0
74905098,0
108306039,0
39239065,0
111100068,0
62276184,0
127724428,0
42102822,0
127435871,0
112767857,0
115959056,0
18973749,0
112228615,0
104844196,0
35124683,0
149437804,0
157822097,0
92236523,0
25812399,0
72234971,0
7936262,0
14926681,0
64102888,0
